Entry #,Ligand Type,Nanoparticle Type,NP Size (nm),Conjugation Chemistry,PEGylated?,PEG Details,Activation Agent,Molar Ratio (Ligand:NP),pH,Buffer,Temperature (°C),Incubation Time (h),Conjugation Efficiency (%),Characterization Method,Key Finding / Notes,First Author,Year,Journal,DOI
12,Transferrin (anti-TfR antibody),Liposome (DSPC/DSPE-PEG-Mal),variable,EDC/NHS + Maleimide (combined),Yes,DSPC:DSPE-PEG2000:DSPE-PEG2000-Mal at 4:1:0.2 molar,Thiol-maleimide (no EDC needed for Ab coupling),Ab:DSPE-PEG-Mal 1:10 molar ratio,~7.4,PBS,4°C with stirring,"4h at 4°C; ultracentrifuge 55,000 rpm 1h to remove unbound",Functional targeting confirmed,"DLS, SDS-PAGE, Western blot, ultracentrifugation","DSPC:DSPE-PEG2000:DSPE-PEG2000-Mal at 4:1:0.2. Mix Ab with liposomes at 1:10 Ab:DSPE-PEG-Mal, 4°C, 4h continuous stirring. Ultracentrifuge 55,000 rpm 4°C 1h to remove unconjugated Ab. (Note: this is Mal-thiol, listed under EDC/NHS section as closest liposome-Ab protocol.)",Khan (ResearchGate protocol),2021,ResearchGate (protocol),researchgate.net/post/antibody_immunoliposome
14,Transferrin,PLGA NP (TMZ+BTZ loaded),~200 (optimized by CCD),EDC/NHS,No,Direct PLGA terminal -COOH,EDC (20× molar excess),EDC 20× molar excess to PLGA-COOH; Tf 2× molar excess; target ~100 Tf/NP,Aqueous (not specified),Aqueous (ultrapure water),RT,30 min activation + 1h coupling,CE measured by BCA (supernatant method),"DLS, BCA, zeta, SRB cytotoxicity, SDS-PAGE","Activate PLGA-COOH with EDC (20× excess), agitate RT 30 min. Add Tf (2× excess). Agitate 1h RT. Centrifuge, resuspend in water. Quantify unbound Tf by BCA.",Ramalho,2023,ACS Applied Nano Materials,10.1021/acsanm.3c02122
15,Transferrin,"PLGA NP (50:50, clonidine-loaded)",199.5 ± 1.36,EDC/NHS,No,PLGA 50:50 (MW 30-60 kDa) terminal -COOH,EDC + NHS coupling,EDC/NHS to activate PLGA-COOH; Tf added for amide bond,Not specified,PBS (resuspension),RT,Not specified,"EE 86.2%, DL 7.8%; size 199.5 nm; zeta -17.4 mV","TEM, SEM, FTIR, DLS, zeta, in vivo brain distribution (IN delivery)",Double emulsification → PLGA NPs → EDC/NHS coupling with Tf. Confirmed Tf coating by TEM/SEM/FTIR. Enhanced brain uptake via intranasal delivery in rats.,Singh,2023,Int J Biol Macromol,10.1016/j.ijbiomac.2023.126726
16,Transferrin,PLGA NP (HA-CMC coated),Not reported,EDC/NHS,No,Carboxymethyl chitosan (CMC) coating provides -COOH,EDC ,"150 mg NPs in 10 mL NaCl (0.5 M, pH 5.5); EDC 2 mM; NHS 5 mM",5.5,0.5 M NaCl,RT,15 min activation; quench with 20 mM 2-mercaptoethanol; centrifuge 1000 rpm 10 min 4°C; then add Tf,Enhanced PDT efficacy in A549 cells,"SEM, DLS, FTIR, fluorescence, AO/EB apoptosis staining","Activate CMC-COOH on NP surface: EDC 2 mM + NHS 5 mM in NaCl pH 5.5, 15 min RT. Quench with 2-mercaptoethanol (20 mM). Centrifuge (1000 rpm, 10 min, 4°C). Add Tf for amide bond.",Xi Lin,2017,Front Pharmacol,10.3389/fphar.2017.00815
17,Transferrin,"PLGA-PEG NP (Tf variant, DOX-loaded)",~200,EDC/NHS (PEGylated),Yes,PEG conjugated to PLGA; Tf (oxalate variant) attached,EDC/NHS,PLGA-PEG-COOH NPs; Tf conjugated to terminal COOH via EDC/NHS,Not specified,Not specified,Not specified,Not specified,3-fold decrease in IC50 for oxalate Tf vs native Tf,"MTS assay, drug release, scaffold incorporation",PLGA-PEG-Tf NPs incorporated into 3D PLGA scaffolds. Oxalate Tf variant showed greater potency than native Tf — first use of Tf variant for NP delivery in scaffolds.,Luo,2017,Biomater Sci,PMID: 28183621
18,Transferrin,PLGA-PEG NP (paclitaxel-loaded),Not specified,Adsorption (not covalent),Yes (PEG present),Tf adsorbed onto PLGA-PEG NP surface (non-covalent),None (physical adsorption),Tf incubated with preformed PLGA NPs; adsorption-based,~7.4,PBS/HEPES,RT,Incubation period for Tf adsorption,Enhanced uptake in MCF-7 and U-87 cells,"DLS, TEM, zeta, drug release, cytotoxicity, cellular uptake",Non-covalent approach: Tf physically adsorbed onto PLGA surface. Simpler than EDC/NHS but less stable. Included as comparison — Tf adsorption is common alternative to covalent conjugation for PLGA.,Cui (PLGA-Tf adsorption),2017,Acta Pharmacol Sin (Nature),10.1038/aps.2017.45
19,Transferrin,Lipid-coated PLGA NP (7α-APTADD loaded),170.3 ± 7.6,Maleimide-thiol (post-insertion),Yes (MB-DOPE + DSPE-PEG),MBS-DOPE lipid conjugate; DSPE-PEG for stealth,Traut's reagent (5× excess to Tf),Tf thiolated in HEPES pH 8 with 5× Traut's; Tf-SH mixed with MB-DOPE micelles at 1:10 protein:lipid molar,8.0 (thiolation); ~7.4 (coupling),HEPES,37°C,1h thiolation + 1h Tf-lipid coupling + 1h post-insertion into PLGA NP,Drug loading 36.3 ± 3.4%; zeta -18.9 mV; IC50 0.77-1.21 nM (Tf-NP) vs 1.90-3.41 nM (non-targeted),"DLS, zeta, HPLC, aromatase inhibition (SKBR-3 cells)","Lipid-coated PLGA method: (1) Synthesize MB-DOPE (MBS + DOPE in CHCl3 + TEA, overnight RT). (2) Form micelles. (3) Thiolate Tf (5× Traut's, HEPES pH 8). (4) Mix Tf-SH with MB-DOPE micelles 1:10 protein:lipid, 37°C, 1h. (5) Post-insert Tf-DOPE into drug-loaded PLGA NPs, 37°C, 1h.",Li (Lee lab),2013,Int J Pharm,10.1016/j.ijpharm.2013.08.061
20,Antibody (anti-FZD7),PLGA-PEG-Mal NP,~100,Maleimide-thiol,Yes (PEG-Maleimide surface),PLGA-PEG-Maleimide NPs with maleimide surface,TCEP (100× excess to reduce Ab disulfides),TCEP 100× to Ab; ~4 free thiols/Ab; Low loading: 192 Ab/NP; High loading: 1063 Ab/NP,~7.4 (PBS + 2 mM EDTA),PBS + 2 mM EDTA,RT (coupling) after 4°C overnight (thiolation),Overnight thiolation; coupling time not specified,"High loading: 1063 ± 97 Ab/NP (TCEP method, best); Ellman's confirmed 4 thiols/Ab","Ellman's assay, SDS-PAGE, ELISA, DLS, NP tracking","NOTE: Uses anti-FZD7 Ab not Tf, but protocol directly applicable to Tf-maleimide conjugation on PLGA-PEG-Mal. TCEP 100× to reduce disulfides → 4 free thiols. React with NP-PEG-Mal in PBS+EDTA. Most efficient method tested. (Closest verified Mal-thiol PLGA protocol.)",Patel,2024,ACS Omega,10.1021/acsomega.4c07025
21,Antibodies ,"PLGA-PEG-COOH (antibody conjugation), PLGA-PEG-Mal (antibody fragment conjugation)",193-195,EDC/NHS,Yes,PEG-maleimide,"NHS + EDC, maleimide group",—,—,PBS,RT,2,"full-length antibodies: 7-15%, f(ab')2 fragments: 26-47%",BCA protein assay,Directional antibody fragments (f(ab′)₂) gave higher conjugation efficiency and greater immune cell targeting than full IgG on PLGA NPs.,Na Kyeong Lee,2021,Springer Nature,10.1021/acsomega.8b00152
22,Fluorescein- and EGFR-Antibody,Silica (SiNP),45,EDC/NHS,—,APTES,NHS + EDC,~262.5 ng antibody per 3 mg NP,0.9% NaCl,NaCl (physiological saline),12,2,—,"TEM, ζ-potential, fluorescence assay",Silica NPs (~45 nm) were amine-functionalized (APTES) and then covalently linked to EGFR antibodies using EDC/NHS chemistry in saline.,Anna Watermann,2019,MDPI,https://doi.org/10.3390/nano9101378
23,Antibody (anti-CD105 / TRC105),Mesoporous silica (mSiO2-PEG),~80,PEGylation + Maleimide-thiol,Yes (Mal-PEG5k-NH2 + Mal-PEG5k-SCM),Two-step PEGylation: Mal-PEG5k-NH2 for surface amine; Mal-PEG5k-SCM for terminal maleimide,TCEP (thiol reduction of TRC105); Ellman's to quantify –SH,100 nmol –SH on mSiO2-SH; 2 mg Mal-PEG5k-NH2 (400 nmol) for 1st PEGylation; TRC105-SH added at 200 µg per 1 mg NPs,7.4 (PBS),PBS pH 7.4,RT,1st PEGylation overnight; TRC105 coupling 2 h RT,~17.5% ID/g tumor at 24 h PET; specific tumor uptake confirmed vs IgG control,"DLS, TEM, Ellman's assay, radio-PET (64Cu-NOTA), biodistribution, blocking studies","Thiolate mSiO2-SH with MPS at 86–90 °C ethanol. PEGylate with Mal-PEG5k-NH2 overnight RT. Install NOTA then Mal-PEG5k-SCM surface. Reduce TRC105 disulfides with TCEP, react with NP-PEG-Mal 2 h RT.",Chen,2013,ACS Nano,10.1021/nn405701d
24,Antibody (Trastuzumab / anti-HER2),Mesoporous silica (MSNP-PEI-PEG),~50,PEGylation + Maleimide-thiol,Yes (Mal-PEG5k-NHS on PEI coating),PEI cross-linked with DSP; Maleimide-PEG (5 kDa)-NHS installed on PEI at 1:1 mass ratio,"Traut's reagent (50-fold molar excess to trastuzumab, pH 8.0, 2 h)",MSNP-PEI at 4:1 mass ratio PEI; Mal-PEG-NHS 1:1 mass to MSNP-PEI; Trastuzumab-SH added to MSNP-PEI-PEG,8.0 (thiolation in phosphate); 7.2 (PEG coupling in PBS),Phosphate pH 8.0 (thiolation); PBS pH 7.2 (PEG + Ab coupling),RT,2 h PEG coupling; Traut's thiolation 2 h; Ab coupling overnight 4 °C,Maintained targeting over 9-month lyophilized storage; HER2+ cell uptake confirmed by flow cytometry,"DLS, TEM, Zeta, BCA protein quantification, flow cytometry, lyophilization stability","Coat MSNP (50 nm) with branched PEI (4:1) in ethanol 3 h. Cross-link with DSP 40 min. Conjugate Mal-PEG5k-NHS (1:1) in PBS pH 7.2, 2 h. Thiolate trastuzumab with Traut's 50×, pH 8.0, 2 h. React trastuzumab-SH with MSNP-PEI-PEG overnight 4 °C.",Wongrakpanich (Wongwises lab),2018,Int J Nanomed,10.2147/IJN.S161212
25,Antibody (Cetuximab / anti-EGFR),Organically modified silica (ORMOSIL-PEG),~30,PEGylation + EDC/NHS (surface COOH-PEG-Ab),Yes (PEG2000-COOH on ORMOSIL surface),PEG2000-COOH tethered to ORMOSIL surface; provides spacer and carboxyl for Ab coupling,EDC + Sulfo-NHS (standard carbodiimide activation of PEG-COOH),ORMOSIL-PEG-COOH 1 mg; EDC 0.4 mg + Sulfo-NHS 0.6 mg; cetuximab added at ~5 µg Ab per mg NP,~6.0 (activation in MES); ~7.4 (coupling in PBS),MES pH 6.0 (activation); PBS pH 7.4 (coupling),RT,15 min activation; 2 h coupling at RT,Enhanced uptake in EGFR+ Panc-1 cells vs non-targeted; photosensitizer delivery confirmed,"DLS (~30 nm), TEM, Zeta, fluorescence microscopy, cellular uptake (Panc-1, MCF-7)","Synthesize ORMOSIL (APTS + VPTES) in Aerosol OT/DMSO/water microemulsion. PEGylate surface with PEG2000-COOH. Activate COOH with EDC/Sulfo-NHS (MES pH 6, 15 min). Desalt. Add cetuximab in PBS pH 7.4, 2 h RT. Wash by centrifugation.",Bhattacharya,2009,Small,10.1002/smll.200900357
26,Antibody (anti-CD105 / TRC105),Mesoporous silica (mSiO2-PEG-Mal),~80,Maleimide-thiol,"Yes (Mal-PEG5k surface, dual PEGylation)",Surface thiol (MPS) reacted with Mal-PEG5k-NH2; second Mal-PEG5k-SCM for terminal maleimide for Ab,TCEP to reduce TRC105 disulfides; Ellman's test to confirm –SH,mSiO2-SH 100 nmol –SH; Mal-PEG5k-NH2 2 mg (400 nmol); TRC105-SH 200 µg per 1 mg NPs; NP:Ab ~5:1 (w/w),7.4,PBS pH 7.4,RT,Thiol-PEG overnight; Ab-maleimide coupling 2 h RT,~5 TRC105 per NP (estimated); tumor:muscle uptake ratio >5:1 by PET imaging,"Ellman's assay, DLS (83 nm post-Ab), Zeta, 64Cu-PET, γ-counting biodistribution","Thiolate mSiO2 with MPS 86-90 °C. PEGylate with Mal-PEG5k-NH2 (100 nmol) overnight RT (consumes all –SH). Install Mal-PEG5k-SCM for second maleimide end. TCEP-reduce TRC105, immediately react with NP-PEG-Mal (2 h RT). Quench with β-mercaptoethanol (1 mM).",Chen,2013,ACS Nano,10.1021/nn405701d
27,"Antibody (anti-EGFR, IgG fragment)",Fluorescent silica NP (APTS-SiNP),~50 (Stöber),Maleimide-thiol,Yes (SM(PEG)8 heterobifunctional linker on amine-SiNP),APTS surface amine + SM(PEG)8 → terminal maleimide; PEG8 spacer reduces steric hindrance,"TCEP (1:1 molar to Ab Cys, 5 min RT) to expose thiol; SM(PEG)8 at 10× molar excess to NP-NH2","NP-NH2 + SM(PEG)8 (10× molar excess, pH 7.4 HEPES, 1 h). Ab-SH (TCEP, 5 min). NP-PEG-Mal + Ab-SH at 1:1 mass ratio.",7.4 (HEPES),HEPES pH 7.4,RT,SM(PEG)8 1 h; TCEP reduction 5 min; Ab coupling 2 h at 400 rpm; quench β-mercaptoethanol 1 mM 5 min,Receptor-specific uptake confirmed; uptake pathway depends on PEG architecture; >80% Ab activity retained,"DLS, Zeta, fluorescence microscopy, flow cytometry, uptake pathway inhibition (dynasore, MβCD)","React SiNP-NH2 (APTS) with SM(PEG)8 (10×, HEPES pH 7.4, 1 h RT). Reduce Ab disulfides with TCEP (1:1, 5 min). Immediately add NP-PEG-Mal to Ab-SH (1:1 mass). React 2 h RT 400 rpm. Quench β-mercaptoethanol 1 mM, 5 min. Wash 4× PBS.",Delyan R. Hristov,2015,Scientific Reports,10.1038/srep17040
28,Antibody (anti-CD44 / anti-EGFR),"Mesoporous silica (PEI-coated MSNP, DOX-loaded)",~130,EDC/NHS,Yes (PEI + NHS-PEG4-N3 for click; EDC/NHS for DBCO labelling of Ab),PEI-coated MSNP azide-functionalized via NHS-PEG4-N3 + EDC; Ab DBCO-labelled via NHS ester,"NHS ester-PEG4-N3 (1.5 mg per 5 mg NPs in DMSO, borate pH 8.5, 4 h); DBCO-PEG4-NHS ester (10 eq. per Ab, borate pH 8.5, 6 h)",10 mol eq. DBCO-PEG4-NHS ester per Ab at 1 mg/mL borate pH 8.5; 100 µg DBCO-labelled Ab per 450 µL NPs (10 mg/mL),8.5 (borate buffer for NHS reactions),50 mM borate buffer pH 8.5,RT,NP azide coupling: 4 h; Ab DBCO labelling: 6 h; click conjugation: overnight at RT,Specific uptake in EGFR+ A431 cells; no uptake in HEK293 (EGFR−); Dox release confirmed in acidic lysosomes,"DLS (~130 nm, PDI <0.2), Zeta, TEM, confocal microscopy, flow cytometry, MTT, Zeba spin cleanup","Coat MSNP with 0.75% PEI (pH 7, 1:1, 3 h, magnetic stir). Add NHS-PEG4-N3 (1.5 mg in DMSO) to PEI-MSNP in borate pH 8.5, stir 4 h. Centrifuge. Label Ab with DBCO-PEG4-NHS (10 eq., borate pH 8.5, 6 h). Purify on Zeba 40K. Mix DBCO-Ab (100 µg) with N3-NP (450 µL × 10 mg/mL), overnight RT. Centrifuge, wash.",Laura Sánchez-Bellver,2022,International Journal of Molecular Sciences,10.3390/ijms232012527
29,Antibody (Cetuximab / anti-EGFR),Carboxylated silica NP (SiO2-COOH),~120–150,EDC/NHS,"No (bare SiO2-COOH, no PEG)",Surface –COOH groups intrinsic to carboxylated silica; direct EDC/NHS coupling of Ab,EDC (0.4 mg/mL) + Sulfo-NHS (1.1 mg/mL),1 mg SiO2-COOH NPs; EDC 0.4 mg + Sulfo-NHS 1.1 mg in MES pH 6.0; cetuximab 25 µg in PBS pH 7.4,~6.0 (activation); ~7.4 (coupling),MES 0.1 M pH 6.0 (activation); PBS pH 7.4 (coupling),RT,30 min activation; 1–2 h coupling; quench hydroxylamine 10 min,1–20% coupling efficiency typical for EDC/NHS (random amine coupling); targeting confirmed by cell assay,"DLS, Zeta, BCA assay, SDS-PAGE, flow cytometry, cellular uptake (EGFR+ cancer cells)",Dissolve cetuximab 1 mg/mL in MES pH 6.0. Add EDC (0.4 mg) + Sulfo-NHS (1.1 mg). Incubate 30 min RT. Transfer activated Ab to carboxylated SiNP in PBS pH 7.4. React 1–2 h RT on rotator. Quench with hydroxylamine (10 mM final). Wash 3× PBS by centrifugation.,Duwa (Jeong lab),2020,J Controlled Release,10.1016/j.jconrel.2020.08.040
30,Antibody (Trastuzumab / anti-HER2),Liposome (DSPC/Chol/DSPE-PEG2000-Mal),~100–120,PEGylation + Maleimide-thiol,Yes (DSPE-PEG2000-Maleimide incorporated at 0.5–1 mol%),DSPE-PEG2000-Mal provides both stealth PEG and reactive maleimide at lipid bilayer surface,"Traut's reagent (protein:Traut 3:1 molar, pH 7–8, 1 h RT)",DSPE-PEG2000-Mal 0.5–1 mol% of total lipid; trastuzumab-SH added at 1:1 Ab:DSPE-PEG-Mal molar ratio,7.4,PBS-based buffer,RT (thiolation); 4 °C overnight (coupling),Traut's thiolation 1 h RT; maleimide coupling overnight 4 °C,Enhanced cytotoxicity vs plain liposomes in HER2+ SKBR-3 cells; EE ~90% for rapamycin,"DLS, PDI, Zeta, BCA, Ellman's assay, MTT cytotoxicity (SKBR-3 cells), confocal","Prepare liposomes by thin-film hydration/extrusion (DSPC:Chol:DSPE-PEG2000-Mal at 56:39:0.5–1 mol ratio). Thiolate trastuzumab with Traut's 3:1 molar, 1 h RT. React trastuzumab-SH with DSPE-PEG-Mal liposomes overnight 4 °C. Wash unbound Ab by ultrafiltration (MWCO 100 kDa).",Eloy,2017,Anti-Cancer Agents Med Chem,10.2174/1871520617666170211111537
32,Antibody (Cetuximab / anti-EGFR),Liposome (DSPC/Chol/DSPE-PEG2000-Mal),~90–110,PEGylation + Maleimide-thiol,Yes (DSPE-PEG2000-Maleimide at 1 mol%),DSPE-PEG2000-Mal provides PEG stealth layer and terminal maleimide for site-specific Ab coupling,"Traut's reagent (cetuximab:Traut 3:1 molar, pH 8.0, 1 h RT) to introduce –SH",DSPE-PEG2000-Mal 1 mol% total lipid; cetuximab-SH at 1:1 molar ratio to DSPE-PEG-Mal; ~10–30 Ab/liposome optimal,8.0 (Traut's thiolation); 7.4 (coupling PBS),PBS,RT (thiolation); 4 °C (coupling),1 h thiolation RT + overnight coupling at 4 °C,Selective uptake in EGFR+ A431 cells; 5-FU delivery enhanced vs non-targeted; ~30 Ab/liposome,"DLS, Zeta, Ellman's, SDS-PAGE, cellular uptake (A431), cytotoxicity (5-FU payload)","Hydrate lipid film (DSPC:Chol:DSPE-PEG2000-Mal). Extrude through 100 nm membrane. Thiolate cetuximab (Traut's 3:1, pH 8.0, 1 h). Add cetuximab-SH to liposomes at 1:1 Ab:DSPE-PEG-Mal, incubate overnight 4 °C. Remove unbound Ab by gel filtration (Sephadex CL-4B) or ultrafiltration.",Petrilli,2017,Anti-Cancer Agents Med Chem,10.2174/1871520616666160926154021
