Ligand Type,NP Type,Recommended Chemistry,Why This Chemistry,Alternative Chemistry,Key Constraint,Critical pH Range,Typical Efficiency Range (%),Supporting Entries,"Key References (author, year)",Key Finding / Protocol Notes
"Antibody (anti-CD44,
 anti-EGFR)
 [DBCO-azide click]","PEI-coated MSN
 (azide-functionalized,
 DOX-loaded, ~130 nm)","SPAAC Click chemistry
 (azide–DBCO,
 copper-free)","Bioorthogonal click: PEI-MSNP azide-functionalized via NHS-PEG4-N3 (borate pH 8.5, 4h). Ab DBCO-labelled via DBCO-PEG4-NHS (10eq, borate pH 8.5, 6h). Purify DBCO-Ab on Zeba 40K. Mix DBCO-Ab (100µg) with N3-NP (10mg/mL), overnight RT (Entry 28). Specific uptake in EGFR+ A431 cells; no uptake in EGFR− HEK293.","EDC/NHS
 (simpler but
 less selective)",DBCO labelling: avoid >15 DBCO/Ab (causes aggregation). Zeba spin-column purification required to remove excess DBCO-PEG4-NHS before NP mixing. Click reaction overnight RT (slower than thiol-maleimide 2h). Borate buffer pH 8.5 for all NHS steps.,"8.5 borate
 (NHS labelling steps)
 → 7.4 PBS
 (click conjugation)","Functional uptake
 confirmed in EGFR+
 cells; quantitative CE
 not reported (Entry 28)",28,"Sánchez-Bellver,
 2022","Entry 28: Coat MSNP with 0.75% PEI (pH 7, 1:1, 3h). Add NHS-PEG4-N3 (1.5mg in DMSO) in borate pH 8.5, stir 4h. Centrifuge. Label Ab with DBCO-PEG4-NHS (10eq, borate pH 8.5, 6h). Purify on Zeba 40K. Mix DBCO-Ab (100µg) with N3-NP (450µL × 10mg/mL), overnight RT. Centrifuge, wash. DOX released in acidic lysosomes confirmed by confocal."
"Antibody (full IgG)
 (cetuximab anti-EGFR,
 anti-TNFR2 mAb)","PLGA NP / PLGA-PEG NP
 (bare PLGA-COOH or
 PLGA-PEG-NHS,
 ~105–128 nm)","EDC/NHS
 (amide bond,
 PLGA terminal –COOH
 or PLGA-PEG-NHS)","Direct PLGA –COOH activation. MES pH 6 activation (30min) → PBS pH 7.4 coupling (2h RT). Cetuximab 25µg/mg NP (Entry 39: CE ~40%; Entry 40: CE 39.77±3.4%). PLGA-PEG-NHS NPs couple Ab primary amine directly (Entry 38, anti-TNFR2). In vivo tumor growth inhibition confirmed in MC38 colon cancer model.","Maleimide–thiol
 (PLGA-PEG-Mal,
 Entries 41, 42, 43;
 stronger stability)",CE ~40% for random Lys coupling. Use Sulfo-NHS not NHS for water-soluble activation. Quench excess EDC with 2-ME BEFORE Tf/Ab addition (Entry 16-type) to prevent crosslinking. At high Ab concentrations: use dilute conditions to avoid inter-NP crosslinking (Entry 37 note).,"~6.0 MES
 (activation)
 → ~7.4 PBS
 (coupling)","CE ~40% (Entry 39);
 CE 39.77±3.4%
 (Entry 40);
 f(ab')2 CE 26–47%
 vs IgG 7–15%
 (Entry 21)","21, 38, 39, 40","Duwa, 2020
 Wan, 2023
 Saleh, 2018
 Lee, 2021","Entry 39: TMZ-PLGA NPs by single emulsion. Activate COOH with EDC+Sulfo-NHS in MES pH 6.0, 30min RT. Exchange to PBS pH 7.4. Add cetuximab 25µg/mg NP, stir 2h RT. Centrifuge, wash 3× PBS. Entry 40: Same protocol; CE 39.77±3.4%; zeta −31.0±0.8mV. Entry 38: PLGA-PEG-NHS NPs + anti-TNFR2 in PBS pH 7.4, 2h RT, wash 3×. Entry 21: f(ab')2 fragments gave 26–47% CE vs 7–15% for full IgG — prefer fragments for efficiency."
"Antibody (full IgG
 or f(ab')2 fragment)
 (anti-FZD7, anti-CD8a,
 anti-CD133)","PLGA-PEG-Maleimide NP
 (Mal-PEG-PLGA,
 ~100–220 nm)","Maleimide–thiol
 (TCEP or DTT reduction
 + NP-PEG-Mal surface)","TCEP 100× to Ab → ~4 free thiols/Ab confirmed by Ellman's (Entry 41). High loading: 1,063±97 Ab/NP vs 192 Ab/NP at low loading. IdeS protease → f(ab')2 → DTT 10mM exposes hinge –SH for site-selective coupling (Entry 42). Maleimide method: 99% Ab retained at 5 days vs 84% for EDC/NHS (Entry 42). sulfo-SMCC installs maleimide on PLGA-PEG-NH2 NPs (Entry 43).","EDC/NHS
 (PLGA-COOH,
 Entries 39, 40;
 lower 5-day stability)",PLGA-PEG-Mal NPs must be freshly prepared — maleimide groups hydrolyse at pH >7. Verify maleimide availability by Ellman's before coupling. Use PBS + 2mM EDTA to prevent thiol oxidation. TCEP-reduced Ab must react immediately with NPs.,"7.4 PBS + 2mM EDTA
 (all steps)","1,063±97 Ab/NP
 (TCEP, Entry 41);
 99% Ab retained @ 5d
 (maleimide, Entry 42);
 vs 84% for EDC/NHS","20, 41, 42, 43","Patel, 2024
 (ACS Omega)
 Lim, 2021
 Swaminathan, 2018","Entry 41: TCEP 100× to Ab, PBS+2mM EDTA, 4°C overnight. Mix Ab-SH with PLGA-PEG-Mal NPs. Purify by centrifugation. Ellman's + ELISA confirmation. Entry 42: IdeS protease cleaves Ab → f(ab')2. DTT 10mM (2.5µL per 100µg Ab). Desalt 7kDa MWCO. 2h coupling 25°C shaking. 5-day stability: 99% Ab retained. Entry 43: Sulfo-SMCC (10× molar, PBS pH 7.4, 1h) installs maleimide on PLGA-PEG-NH2. Traut's 1:5 to anti-CD133 Ab (1h). Ab-SH + NP-Mal (25µg/mg NP, PBS+EDTA, 2h RT)."
"Antibody (full IgG
 or VHH/Fab' fragment)
 (trastuzumab, cetuximab,
 anti-HER2 VHH)","Liposome
 (DSPC/Chol/DSPE-PEG2000-Mal,
 HSPC/Chol/DSPE-PEG-Mal,
 ~90–130 nm)","Maleimide–thiol
 (Traut's 3:1 or TCEP
 + DSPE-PEG2000-Mal;
 post-insertion or
 during formation)",Standard immunoliposome method. DSPE-PEG2000-Mal at 0.5–1mol% provides PEG stealth + reactive maleimide. Traut's 3:1 (protein:Traut) introduces –SH on Ab. Couple overnight 4°C. EE ~90% rapamycin (Entry 30). ~30 Ab/liposome optimal (Entry 32). Bispecific VHH-liposomes: 10-fold uptake increase (Entry 33). Fab' fragment via 2-MEA reduction (Entry 36).,"EDC/NHS
 (DSPE-PEG-COOH,
 Entry 37;
 higher crosslinking risk)","DSPE-PEG2000-Mal post-insertion: 55°C, 1h (Entry 35) — verify Mal retention >90% by Ellman's. Traut's 3:1 for trastuzumab/cetuximab (Entries 30, 32, 35). For Fab' fragments use 2-MEA 10mM 37°C 90min instead (Entry 36). Purify by SEC (Sephadex CL-4B) or ultrafiltration MWCO 100kDa to remove unbound Ab.","8.0–8.5 borate
 (Traut's thiolation)
 → 7.4 PBS
 (coupling);
 55°C for post-insertion","EE ~90% rapamycin
 (Entry 30);
 ~30 Ab/liposome
 (Entry 32);
 >90% DSPE-PEG-Mal
 retained (Entry 35);
 10× uptake bispecific
 VHH (Entry 33)","30, 32, 33, 35, 36","Eloy, 2017
 Petrilli, 2017
 Nikkhoi, 2021
 Bresseleers, 2022
 Pan, 2007","Entry 30: Thin-film hydration/extrusion (DSPC:Chol:DSPE-PEG2000-Mal 56:39:0.5–1mol). Traut's 3:1 1h RT. Couple overnight 4°C. Wash MWCO 100kDa. Entry 32: Same; Sephadex CL-4B cleanup. ~30 Ab/liposome. Entry 33: HSPC:Chol:DSPE-PEG2000:DSPE-PEG2000-Mal 56:38:3:3mol. Engineered Cys-VHH, TCEP 30min, couple 2h RT. Entry 35: Post-insert DSPE-PEG-Mal (25mg/mL DMSO, 1mol%) at 55°C 1h. Entry 36: Pepsin digest → F(ab')2. 2-MEA 10mM 37°C 90min → Fab'-SH. React with DSPE-PEG-Mal micelles 1:1, 2h RT. Post-insert 37°C 30min."
"Antibody (trastuzumab)
 [EDC/NHS liposome
 alternative]","Liposome
 (DSPC/Chol/DSPE-
 PEG2000-COOH,
 ~100–130 nm)","EDC/NHS
 (DSPE-PEG2000-COOH
 at 1mol%)","DSPE-PEG2000-COOH (1mol%) activated with EDC(10×)+Sulfo-NHS(25×) in PBS pH 6, 15min. Quench excess EDC with 2-mercaptoethanol (20mM). Add trastuzumab 1:10 Ab:lipid molar ratio, PBS pH 7.4, 2h RT. CE 20–45%. Dialyze vs PBS (MWCO 300kDa) to remove unbound Ab (Entry 37).","Maleimide–thiol
 (DSPE-PEG-Mal,
 Entries 30, 32, 35;
 more stable, preferred)","Risk of inter-liposome crosslinking with EDC/NHS at high Ab concentrations — use dilute conditions. Dialysis cleanup required (MWCO <1,000kDa Float-A-Lyzer). EDC/NHS less preferred than Mal-thiol for liposomes — crosslinking risk and random orientation.","~6.0 PBS
 (activation)
 → ~7.4 PBS
 (coupling)","CE 20–45%
 (Entry 37);
 higher crosslinking
 risk at high [Ab]",37,"Encapsula/Patel,
 2019","Entry 37: Prepare DSPC:Chol:DSPE-PEG2000-COOH liposomes. Activate COOH with EDC(10×)+Sulfo-NHS(25×), PBS pH 6, 15min. Quench excess EDC with 2-ME (20mM). Add trastuzumab at 1:10 Ab:lipid molar ratio, PBS pH 7.4, 2h RT. Dialyze vs PBS (MWCO 300kDa). Risk of crosslinking: use dilute conditions."
"RGD / cRGD Peptide
 (linear GRGDS,
 cyclic cRGDfK, cRGDfc,
 cRGDfC, RGD-NAMs)","Silica NP / MSN
 (APTES-NH2,
 thiol-MSN,
 vinyl-MSN, ~100–200 nm)","Maleimide–thiol
 (Mal-PEG12-NHS on
 MSN-NH2 + Cys-RGD
 free thiol)",Two-step: (1) React MSN-NH2 with Mal-PEG12-NHS → MSN-PEGmal. (2) Conjugate Cys-RGD-FAM via thiol-maleimide click. Tune RGD density by adjusting peptide:MSN ratio. High density: 29.1 nmol RGD/mg MSN; Low: 14.5 nmol/mg (Entry 47). PEG12 spacer provides antifouling layer and controls surface density precisely.,"EDC/NHS
 (HA+RGD dual,
 Entry 46;
 for non-Cys peptides)
 Thiol-disulfide
 exchange (Entry 48)","Maleimide hydrolyses above pH 7.5 — keep coupling buffer at pH 7.4 or below. Thiol-disulfide (Entry 48): MSN-SH activated with 2,2'-DTP then react with Cys-cRGD — different chemistry in same paper vs Tf-epoxide (Entry 48, Ferris 2011). Tune surface density by peptide:NP ratio.","~7.4 PBS
 (coupling)","High density:
 29.1 nmol RGD/mg MSN;
 Low density:
 14.5 nmol/mg
 (Entry 47 by fluorescence)","44, 46, 47, 48, 49","Diba, 2023
 Zhou, 2018
 Ferris, 2011
 Lee, 2023","Entry 47: (1) React MSN-NH2 with Mal-PEG12-NHS → MSN-PEGmal. (2) Conjugate Cys-RGD-FAM via thiol-maleimide at pH 7.4. FAM fluorescence quantifies RGD density. Entry 48 (disulfide): MSN-SH (3-mercaptopropyltrimethoxysilane) → 2,2'-DTP activation → react with Cys-cRGD. Entry 46: HA+RGD dual targeting via EDC/NHS on GNRs@mSiO2-NH2 surface. DOX loaded with pH-enzyme + NIR-triggered release. Entry 44 (PAA surface): MES pH 6 activation 30min, borate pH 8.0 coupling 16h at 25°C — 78% efficiency gain. Entry 49: thermo+pH responsive pNIBIm-AA-RGD copolymer on vinyl-MSN."
"RGD / cRGD Peptide
 (linear GRGDS,
 cyclic cRGDfK)","PLGA NP /
 PLGA-PEG NP
 (Mal-PEG-PLGA,
 ~200–330 nm)","Maleimide–thiol
 (Mal-PEG-PLGA surface
 + Cys-RGD free thiol,
 HEPES pH 7.0)","KEY REFERENCE (Entry 58, Martínez-Jothar 2018): 84±4% CE at 2:1 Mal:thiol molar ratio, 30min, HEPES pH 7.0. Best NP prep method and storage (4°C > −20°C) also optimized. IAASF technique (Entry 60): PLA-PEG-MAL at emulsion oil–water interface → Mal displayed on NP surface without post-modification. NMR confirms coupling (maleimide proton peak disappears). 2–3× uptake increase; ~2× tumor AUC in vivo.","EDC/NHS
 (PLGA-COOH or
 PLGA-PEG-COOH,
 Entries 56, 57;
 lower selectivity)",Optimal Mal:thiol = 2:1 (Entry 58); excess thiol (>1:1) causes NP crosslinking. Maleimide availability lower than expected due to PEG-PLGA miscibility burying some Mal groups — verify by Ellman's before coupling. Storage at 4°C preferred over −20°C for Mal-PEG-PLGA NPs.,"7.0 HEPES
 (coupling,
 Entry 58 optimal)
 or ~7.4 PBS","84±4% CE
 (2:1 Mal:thiol, 30min,
 Entry 58);
 CE 40–70%
 (density-dependent,
 Entry 59);
 2–3× uptake increase
 (Entry 60)","56, 57, 58, 59, 60","Martínez-Jothar,
 2018
 Martínez-Jothar,
 2020
 Danhier, 2010","Entry 58 (key): Dissolve cRGDfK in HEPES pH 7.0. Mix with Mal-PEG-PLGA NPs at 2:1 Mal:thiol molar ratio. React RT 30min. Quantify free cRGD in supernatant by HPLC. Entry 59: 3 cRGD densities (1:10, 1:5, 1:2 cRGD:Mal) tested under physiological flow (300 s⁻¹). Entry 60 (IAASF): Add PLA-PEG-MAL during PLGA emulsification. NMR confirms coupling. ~2× tumor AUC in vivo (4T1 model). Entry 56/57: Standard EDC/NHS on PLGA-COOH or PLGA-PEG-COOH in MES pH 6.0–6.5, 2–4h RT."
"RGD / cRGD Peptide
 (cyclic cRGDfK, cRGDfc,
 cRGDfC, DSPE-PEG-RGD)","Liposome / LNP
 (SPC/Chol/DSPE-PEG-Mal,
 HSPC/Chol/MBPE,
 DLin-MC3-DMA LNP,
 ~80–200 nm)","Maleimide–thiol
 (DSPE-PEG-Mal + Cys-RGD
 free thiol;
 post-conjugation
 for LNP)","Cys-RGD reacts directly with DSPE-PEG2000-Mal — no activation step. 98% CE (Entry 51): couple cRGD to liposome maleimide FIRST, then post-insert DSPE-PEG2000 (sequence critical). MALDI-TOF: quantitative 1:1 DSPE-PEG:RGD coupling confirmed (MW increase = RGD-SH MW, Entry 55). LNP (Entry 61): formulate with 0.5mol% DSPE-PEG-Mal; add Cys-peptide in DMF 1.2× excess; react 2h RT; quench with free L-Cys; 0.5mol% cRGD optimal for transfection.","EDC/NHS
 (DSPE-PEG-COOH,
 Entries 53, 54;
 for non-Cys peptides)","CRITICAL SEQUENCE (Entry 51): couple cRGD BEFORE PEG post-insertion — reverse gives steric blocking of maleimide, CE drops to <20%. Keep under argon/dark (Entry 50) to prevent thiol oxidation. EDTA in buffer prevents metal-catalysed oxidation. pH 6.5 HEPES for Entry 52 (lower than standard).","6.5–7.4
 (HEPES or PBS);
 Entry 50: pH 7.2;
 Entry 52: pH 6.5","98% CE (Entry 51);
 Quantitative by
 MALDI-TOF (Entry 55);
 EE >90% apatinib
 (Entry 50);
 0.5mol% cRGD
 optimal LNP
 (Entry 61)","50, 51, 52, 53,
 54, 55, 61","Song, 2017
 Zhao (Jiang lab),
 2012
 Suen, 2011
 Lokugamage,
 ~2023","Entry 51 (optimal): (1) Prepare liposomes. (2) Load DOX (ammonium sulfate gradient). (3) Couple cRGD to MBPE-maleimide. (4) Post-insert DSPE-PEG2000. 98% CE. Entry 50: DSPE-PEG2000-Mal in PBS pH 7.2+NaCl+EDTA+TEA; add 2 equiv cRGD; react argon, RT, dark, 12h. Dialyze MWCO 1kDa. Entry 52: cRGD (1mg/mL HEPES pH 6.5) + LCL suspension at 1:10 cRGD:maleimide, overnight. Entry 55: MALDI-TOF confirmed quantitative 1:1 coupling. Entry 61 (LNP/PCT): microfluidics formulation with 0.5mol% DSPE-PEG-Mal. Add Cys-peptide in DMF (1.2× excess). React 2h RT. Quench free L-Cys. Purify 30kDa or 300kDa centrifugal filters."
"ATWLPPR Peptide
 (NRP-1 targeting)","Ultrasmall Silica NP
 (DOTA-Gd, ~3–5 nm)","EDC/HBTU
 (water/DMSO 1:1,
 protected peptide)","EDC/HBTU combination for sterically hindered protected peptides in mixed aqueous/organic solvent (water:DMSO 1:1). HBTU activates COOH more efficiently than NHS for protected peptides. Activate DOTA-COOH with EDC/HBTU (5 equiv) 10min, add protected peptide (6 equiv), stir 18h RT. Evaporate solvents. Deprotect side chains with TFA 2h RT (Entry 45).","EDC/NHS
 (aqueous only;
 for unprotected
 hydrophilic peptides)",TFA deprotection step (2h RT) required after coupling — confirm complete deprotection by MS. DMSO co-solvent (1:1 v/v) necessary for peptide solubility; validate NP stability in DMSO before use. Not suitable for base-labile NP coatings.,"Not specified
 (DOTA-COOH
 on NP surface)","Functional PDT+MRI
 theranostic confirmed;
 quantitative CE not
 reported (Entry 45)",45,"Benachour, 2012
 (Theranostics)","Entry 45: Activate DOTA-COOH on NP with EDC+HBTU (5 equiv each) in water/DMSO 1:1 v/v, 10min RT. Add protected ATWLPPR peptide (6 equiv), stir 18h RT. Evaporate solvents. Deprotect side chains with TFA 2h RT. Wash cycles to remove TFA/DMSO. Functional PDT+MRI theranostic NPs confirmed by TEM, DLS, MRI relaxivity, singlet oxygen assay."
,,,,,,,,,,
"LEGEND: All entries reference row numbers from Protocol Database (uploaded PDF, 61 entries) | CE = Conjugation Efficiency | EE = Encapsulation Efficiency | β-ME = β-mercaptoethanol | 2-ME = 2-mercaptoethanol | MWCO = molecular weight cut-off | TCEP = tris(2-carboxyethyl)phosphine | HBTU = O-benzotriazole-N,N,N′,N′-tetramethyl-uronium hexafluorophosphate | MES = 2-(N-morpholino)ethanesulfonic acid | LNP = lipid nanoparticle | IAASF = interfacial assembly on a solid film | PCT = post-conjugation technique",,,,,,,,,,
